trial_id,molecule,indication,phase,status,sponsor,country
CT-027973,MOLIBD2,Migraine,Phase II,Recruiting,NovaCure,Canada
CT-027974,MOLM1,Migraine,Phase I,Suspended,PrimeCare,China
CT-027975,MOLH3,Respiratory,Phase I,Recruiting,NovaCure,US
CT-027976,MOLO3,Rheumatoid Arthritis,Phase II,Recruiting,Sunrise Therapeutics,Australia
CT-027977,MOLBC2,Depression,Phase III,Suspended,Sunrise Therapeutics,US
CT-027978,MOLD2,Breast Cancer,Phase IV,Active,ABC Pharma,US
CT-027979,MOLCKD3,Breast Cancer,Phase II,Completed,Sunrise Therapeutics,Canada
CT-027980,MOL2,Breast Cancer,Phase I,Terminated,XYZ Pharma,India
CT-027981,MOLCKD3,Lung Cancer,Phase III,Terminated,Sunrise Therapeutics,Australia
CT-027982,MOLIBD2,COPD,Phase II,Terminated,XYZ Pharma,Brazil
CT-027983,MOLRA3,Hypertension,Phase III,Suspended,ABC Pharma,Japan
CT-027984,MOLDEP3,Chronic Kidney Disease,Phase IV,Recruiting,Sunrise Therapeutics,Japan
CT-027985,MOLLC2,Breast Cancer,Phase I,Recruiting,MedLife Corp,Australia
CT-027986,MOLIBD1,Chronic Kidney Disease,Phase III,Suspended,GlobalBio,US
CT-027987,MOLIBD1,Migraine,Phase II,Suspended,GlobalBio,Japan
CT-027988,MOLHF1,Osteoporosis,Phase IV,Completed,XYZ Pharma,India
CT-027989,MOLDEP1,Depression,Phase II,Completed,NovaCure,EU
CT-027990,MOLCKD3,Rheumatoid Arthritis,Phase I,Recruiting,PrimeCare,China
CT-027991,MOLRA3,Migraine,Phase I,Suspended,XYZ Pharma,Brazil
CT-027992,MOLX,Breast Cancer,Phase IV,Completed,ABC Pharma,US
CT-027993,MOLDEP3,Migraine,Phase IV,Recruiting,NovaCure,Australia
CT-027994,MOL1,Breast Cancer,Phase II,Suspended,NovaCure,EU
CT-027995,MOLR1,Type 2 Diabetes,Phase II,Suspended,MedLife Corp,Global
CT-027996,MOLRA3,Psoriasis,Phase III,Suspended,Sunrise Therapeutics,Global
CT-027997,MOLM2,Heart Failure,Phase III,Active,ABC Pharma,US
CT-027998,MOLBC1,Type 2 Diabetes,Phase II,Recruiting,XYZ Pharma,EU
CT-027999,MOLCKD1,Respiratory,Phase IV,Suspended,NovaCure,EU
CT-028000,MOLM1,Hypertension,Phase I,Active,MedLife Corp,US
CT-028001,MOLBC2,Osteoporosis,Phase II,Active,OncoGenix,Australia
CT-028002,MOLD1,Breast Cancer,Phase III,Recruiting,MedLife Corp,EU
CT-028003,MOLBC2,Depression,Phase III,Suspended,XYZ Pharma,US
CT-028004,MOLRA2,Lung Cancer,Phase III,Suspended,Sunrise Therapeutics,EU
CT-028005,MOLIBD3,Depression,Phase II,Suspended,Sunrise Therapeutics,Australia
CT-028006,MOLH2,Migraine,Phase I,Recruiting,XYZ Pharma,Brazil
CT-028007,MOLH1,Hypertension,Phase I,Completed,MedLife Corp,China
CT-028008,MOLP1,Type 2 Diabetes,Phase III,Active,MedLife Corp,US
CT-028009,MOLP3,COPD,Phase IV,Suspended,NovaCure,Australia
CT-028010,MOLRA1,Migraine,Phase II,Completed,ABC Pharma,US
CT-028011,MOLLC2,Hypertension,Phase II,Completed,OncoGenix,Canada
CT-028012,MOLLC1,Inflammatory Bowel Disease,Phase III,Suspended,ABC Pharma,US
CT-028013,MOLD1,Type 2 Diabetes,Phase IV,Suspended,OncoGenix,Canada
CT-028014,MOLP3,Osteoporosis,Phase II,Completed,MedLife Corp,Brazil
CT-028015,MOLRA1,Respiratory,Phase II,Recruiting,GlobalBio,Global
CT-028016,MOLBC1,COPD,Phase III,Recruiting,OncoGenix,Australia
CT-028017,MOLCKD1,Breast Cancer,Phase II,Terminated,OncoGenix,Global
CT-028018,MOLO1,Breast Cancer,Phase III,Active,NovaCure,Brazil
CT-028019,MOLHF1,Breast Cancer,Phase I,Active,XYZ Pharma,Australia
CT-028020,MOLLC2,Psoriasis,Phase III,Suspended,Sunrise Therapeutics,US
CT-028021,MOLR2,Migraine,Phase II,Recruiting,GlobalBio,Canada
CT-028022,MOLCKD1,Inflammatory Bowel Disease,Phase IV,Active,MedLife Corp,Japan
CT-028023,MOLM1,Hypertension,Phase I,Active,OncoGenix,Brazil
CT-028024,MOLO2,Lung Cancer,Phase IV,Terminated,Sunrise Therapeutics,US
CT-028025,MOLH1,Respiratory,Phase II,Suspended,NovaCure,Brazil
CT-028026,MOL1,Lung Cancer,Phase IV,Suspended,XYZ Pharma,China
CT-028027,MOLR1,Chronic Kidney Disease,Phase II,Completed,MedLife Corp,Canada
CT-028028,MOLCKD3,Inflammatory Bowel Disease,Phase I,Terminated,Sunrise Therapeutics,EU
CT-028029,MOLH2,Migraine,Phase IV,Suspended,ABC Pharma,Global
CT-028030,MOLD3,Breast Cancer,Phase II,Active,GlobalBio,Global
CT-028031,MOLD3,Hypertension,Phase IV,Terminated,PrimeCare,EU
CT-028032,MOLR1,Heart Failure,Phase IV,Completed,ABC Pharma,Global
CT-028033,MOLH3,Heart Failure,Phase II,Recruiting,NovaCure,EU
CT-028034,MOLIBD3,Inflammatory Bowel Disease,Phase I,Suspended,OncoGenix,Canada
CT-028035,MOLP1,Rheumatoid Arthritis,Phase I,Terminated,GlobalBio,Brazil
CT-028036,MOLP3,Depression,Phase II,Recruiting,ABC Pharma,India
CT-028037,MOLY,Inflammatory Bowel Disease,Phase IV,Recruiting,GlobalBio,Australia
CT-028038,MOLIBD2,Migraine,Phase I,Suspended,NovaCure,Canada
CT-028039,MOLP3,Lung Cancer,Phase II,Terminated,XYZ Pharma,Global
CT-028040,MOLP1,Psoriasis,Phase I,Active,PrimeCare,Brazil
CT-028041,MOLD1,Lung Cancer,Phase II,Recruiting,MedLife Corp,Global
CT-028042,MOLM2,Psoriasis,Phase II,Suspended,Sunrise Therapeutics,Brazil
CT-028043,MOLO1,Chronic Kidney Disease,Phase II,Suspended,OncoGenix,China
CT-028044,MOLCKD2,Depression,Phase IV,Recruiting,PrimeCare,Brazil
CT-028045,MOLY,COPD,Phase III,Recruiting,NovaCure,China
CT-028046,MOLC,Chronic Kidney Disease,Phase II,Completed,NovaCure,EU
CT-028047,MOLH2,Psoriasis,Phase I,Completed,Sunrise Therapeutics,Australia
CT-028048,MOL2,Hypertension,Phase III,Active,PrimeCare,Global
CT-028049,MOLO1,Inflammatory Bowel Disease,Phase II,Active,ABC Pharma,Canada
CT-028050,MOL1,Chronic Kidney Disease,Phase I,Suspended,ABC Pharma,India
CT-028051,MOLO2,Osteoporosis,Phase III,Terminated,NovaCure,Canada
CT-028052,MOLP2,Type 2 Diabetes,Phase II,Active,NovaCure,China
CT-028053,MOLRA2,Psoriasis,Phase III,Active,Sunrise Therapeutics,Japan
CT-028054,MOLLC1,Type 2 Diabetes,Phase IV,Suspended,GlobalBio,Australia
CT-028055,MOL2,Migraine,Phase III,Terminated,PrimeCare,Japan
CT-028056,MOLD1,Lung Cancer,Phase IV,Completed,ABC Pharma,EU
CT-028057,MOLD2,Hypertension,Phase III,Active,GlobalBio,Brazil
CT-028058,MOLX,Depression,Phase I,Terminated,GlobalBio,EU
CT-028059,MOLC,Heart Failure,Phase I,Terminated,GlobalBio,Australia
CT-028060,MOLO3,Breast Cancer,Phase III,Recruiting,MedLife Corp,US
CT-028061,MOLA,Type 2 Diabetes,Phase I,Suspended,OncoGenix,Brazil
CT-028062,MOLO3,Migraine,Phase IV,Completed,GlobalBio,Japan
CT-028063,MOLD3,COPD,Phase IV,Completed,Sunrise Therapeutics,Canada
CT-028064,MOLD1,Migraine,Phase I,Recruiting,PrimeCare,Canada
CT-028065,MOLHF3,Psoriasis,Phase IV,Terminated,PrimeCare,EU
CT-028066,MOLHF2,Migraine,Phase II,Recruiting,MedLife Corp,China
CT-028067,MOLD2,Rheumatoid Arthritis,Phase I,Completed,OncoGenix,Brazil
CT-028068,MOLR1,Psoriasis,Phase III,Recruiting,PrimeCare,Brazil
CT-028069,MOL1,Psoriasis,Phase II,Active,XYZ Pharma,Australia
CT-028070,MOLH1,Respiratory,Phase II,Terminated,XYZ Pharma,US
CT-028071,MOLR1,Inflammatory Bowel Disease,Phase III,Terminated,XYZ Pharma,China
CT-028072,MOLP1,Chronic Kidney Disease,Phase I,Completed,GlobalBio,Japan
CT-028073,MOLR1,Breast Cancer,Phase II,Terminated,Sunrise Therapeutics,Japan
CT-028074,MOLBC1,Chronic Kidney Disease,Phase II,Terminated,ABC Pharma,China
CT-028075,MOLM1,Depression,Phase I,Suspended,OncoGenix,Brazil
CT-028076,MOLM1,Respiratory,Phase II,Terminated,XYZ Pharma,EU
CT-028077,MOLD3,Breast Cancer,Phase II,Recruiting,GlobalBio,EU
CT-028078,MOLBC3,Respiratory,Phase IV,Completed,NovaCure,Canada
CT-028079,MOLCKD1,Migraine,Phase II,Terminated,PrimeCare,Japan
CT-028080,MOLIBD1,Respiratory,Phase III,Completed,XYZ Pharma,EU
CT-028081,MOLA,Heart Failure,Phase II,Terminated,NovaCure,EU
CT-028082,MOLIBD3,Heart Failure,Phase III,Active,OncoGenix,Japan
CT-028083,MOLIBD2,Osteoporosis,Phase III,Recruiting,PrimeCare,Australia
CT-028084,MOLY,Asthma,Phase II,Recruiting,Sunrise Therapeutics,China
CT-028085,MOLLC1,Lung Cancer,Phase IV,Completed,XYZ Pharma,US
CT-028086,MOLR1,Hypertension,Phase II,Suspended,OncoGenix,India
CT-028087,MOLD1,Chronic Kidney Disease,Phase II,Completed,PrimeCare,Japan
CT-028088,MOLBC1,Osteoporosis,Phase II,Suspended,PrimeCare,India
CT-028089,MOLH1,Chronic Kidney Disease,Phase I,Active,Sunrise Therapeutics,Japan
CT-028090,MOLCKD2,Asthma,Phase II,Completed,Sunrise Therapeutics,Brazil
CT-028091,MOLD2,COPD,Phase III,Recruiting,XYZ Pharma,Australia
CT-028092,MOLCKD1,Respiratory,Phase II,Completed,NovaCure,US
CT-028093,MOLR1,Osteoporosis,Phase IV,Active,GlobalBio,Australia
CT-028094,MOLLC2,Osteoporosis,Phase II,Completed,OncoGenix,EU
CT-028095,MOLIBD1,Heart Failure,Phase II,Active,XYZ Pharma,Brazil
CT-028096,MOLA,Psoriasis,Phase IV,Active,ABC Pharma,Global
CT-028097,MOLDEP3,Type 2 Diabetes,Phase I,Recruiting,MedLife Corp,Global
CT-028098,MOLO1,Rheumatoid Arthritis,Phase IV,Recruiting,Sunrise Therapeutics,US
CT-028099,MOLH1,Heart Failure,Phase III,Terminated,ABC Pharma,India
CT-028100,MOLO3,Inflammatory Bowel Disease,Phase IV,Completed,MedLife Corp,Global
CT-028101,MOLCKD1,Asthma,Phase III,Terminated,PrimeCare,US
CT-028102,MOLR3,Heart Failure,Phase II,Terminated,GlobalBio,US
CT-028103,MOLBC3,COPD,Phase IV,Suspended,OncoGenix,India
CT-028104,MOLDEP2,Type 2 Diabetes,Phase II,Completed,OncoGenix,EU
CT-028105,MOLHF2,Inflammatory Bowel Disease,Phase II,Recruiting,XYZ Pharma,Canada
CT-028106,MOLLC2,Respiratory,Phase I,Active,NovaCure,Canada
CT-028107,MOLD1,Migraine,Phase I,Terminated,ABC Pharma,China
CT-028108,MOLX,Respiratory,Phase I,Active,PrimeCare,Japan
CT-028109,MOLCKD2,Breast Cancer,Phase III,Terminated,PrimeCare,EU
CT-028110,MOLBC3,Rheumatoid Arthritis,Phase I,Active,MedLife Corp,US
CT-028111,MOLR2,Asthma,Phase IV,Recruiting,PrimeCare,EU
CT-028112,MOLA,Psoriasis,Phase I,Suspended,Sunrise Therapeutics,China
CT-028113,MOLY,Hypertension,Phase III,Recruiting,ABC Pharma,Canada
CT-028114,MOLRA2,Depression,Phase II,Recruiting,OncoGenix,India
CT-028115,MOLM3,Heart Failure,Phase I,Terminated,Sunrise Therapeutics,Brazil
CT-028116,MOLLC3,Hypertension,Phase IV,Completed,GlobalBio,China
CT-028117,MOLBC2,Heart Failure,Phase II,Suspended,XYZ Pharma,EU
CT-028118,MOLO2,Rheumatoid Arthritis,Phase III,Completed,OncoGenix,US
CT-028119,MOLR2,Psoriasis,Phase I,Completed,PrimeCare,US
CT-028120,MOLLC2,Chronic Kidney Disease,Phase II,Completed,Sunrise Therapeutics,Japan
CT-028121,MOLCKD2,Asthma,Phase III,Terminated,Sunrise Therapeutics,Global
CT-028122,MOLH3,Respiratory,Phase IV,Recruiting,MedLife Corp,Brazil
CT-028123,MOLRA1,Lung Cancer,Phase III,Active,NovaCure,Japan
CT-028124,MOLR2,Asthma,Phase II,Active,OncoGenix,Japan
CT-028125,MOLP1,Chronic Kidney Disease,Phase I,Terminated,PrimeCare,Global
CT-028126,MOLDEP2,COPD,Phase III,Suspended,PrimeCare,Japan
CT-028127,MOLO2,Type 2 Diabetes,Phase I,Terminated,OncoGenix,EU
CT-028128,MOLP3,Migraine,Phase I,Suspended,NovaCure,Canada
CT-028129,MOLIBD3,Inflammatory Bowel Disease,Phase IV,Completed,ABC Pharma,Brazil
CT-028130,MOLIBD2,COPD,Phase III,Completed,MedLife Corp,US
CT-028131,MOLDEP1,Respiratory,Phase III,Recruiting,PrimeCare,Canada
CT-028132,MOLD2,COPD,Phase II,Completed,MedLife Corp,Brazil
CT-028133,MOL1,Depression,Phase IV,Suspended,XYZ Pharma,Canada
CT-028134,MOLD1,Respiratory,Phase IV,Suspended,NovaCure,Australia
CT-028135,MOLLC2,Respiratory,Phase I,Suspended,GlobalBio,India
CT-028136,MOLHF3,Inflammatory Bowel Disease,Phase III,Terminated,PrimeCare,India
CT-028137,MOLHF1,Heart Failure,Phase III,Recruiting,NovaCure,Australia
CT-028138,MOLD2,Inflammatory Bowel Disease,Phase III,Terminated,NovaCure,Australia
CT-028139,MOLCKD2,Heart Failure,Phase I,Suspended,NovaCure,US
CT-028140,MOLD1,Asthma,Phase I,Active,Sunrise Therapeutics,Brazil
CT-028141,MOLCKD1,Chronic Kidney Disease,Phase III,Suspended,Sunrise Therapeutics,China
CT-028142,MOLD2,Osteoporosis,Phase I,Recruiting,OncoGenix,Global
CT-028143,MOL2,Depression,Phase III,Completed,OncoGenix,Global
CT-028144,MOL1,Migraine,Phase I,Active,ABC Pharma,EU
CT-028145,MOLR1,Depression,Phase II,Suspended,Sunrise Therapeutics,Australia
CT-028146,MOLCKD2,Respiratory,Phase IV,Suspended,OncoGenix,China
CT-028147,MOLX,Depression,Phase III,Recruiting,ABC Pharma,Australia
CT-028148,MOL1,Inflammatory Bowel Disease,Phase IV,Suspended,OncoGenix,Australia
CT-028149,MOLCKD2,Type 2 Diabetes,Phase IV,Completed,Sunrise Therapeutics,Global
CT-028150,MOLIBD3,Rheumatoid Arthritis,Phase I,Completed,XYZ Pharma,US
CT-028151,MOLR3,Breast Cancer,Phase III,Recruiting,ABC Pharma,US
CT-028152,MOLA,Heart Failure,Phase II,Completed,NovaCure,Brazil
CT-028153,MOLLC2,Osteoporosis,Phase IV,Active,PrimeCare,Canada
CT-028154,MOLX,Respiratory,Phase I,Suspended,ABC Pharma,Canada
CT-028155,MOLCKD1,Chronic Kidney Disease,Phase III,Suspended,NovaCure,Japan
CT-028156,MOLO3,COPD,Phase I,Active,ABC Pharma,Canada
CT-028157,MOLR1,Osteoporosis,Phase IV,Completed,Sunrise Therapeutics,Brazil
CT-028158,MOLIBD3,Asthma,Phase III,Terminated,GlobalBio,EU
CT-028159,MOLO3,Type 2 Diabetes,Phase II,Suspended,XYZ Pharma,Japan
CT-028160,MOLH2,Respiratory,Phase II,Completed,XYZ Pharma,EU
CT-028161,MOLH1,Type 2 Diabetes,Phase I,Completed,XYZ Pharma,Brazil
CT-028162,MOL1,Lung Cancer,Phase II,Completed,XYZ Pharma,EU
CT-028163,MOLM1,Heart Failure,Phase III,Suspended,GlobalBio,India
CT-028164,MOLP3,Respiratory,Phase I,Recruiting,ABC Pharma,EU
CT-028165,MOL2,Breast Cancer,Phase III,Active,NovaCure,EU
CT-028166,MOLDEP1,Heart Failure,Phase III,Active,PrimeCare,Japan
CT-028167,MOLM1,Chronic Kidney Disease,Phase III,Completed,MedLife Corp,US
CT-028168,MOLY,Lung Cancer,Phase II,Suspended,NovaCure,Japan
CT-028169,MOLCKD1,Osteoporosis,Phase I,Active,NovaCure,Global
CT-028170,MOLIBD3,Hypertension,Phase I,Completed,ABC Pharma,India
CT-028171,MOLCKD3,Asthma,Phase II,Recruiting,ABC Pharma,Australia
CT-028172,MOLRA1,Osteoporosis,Phase IV,Recruiting,GlobalBio,China
CT-028173,MOLIBD1,Lung Cancer,Phase II,Recruiting,OncoGenix,Australia
CT-028174,MOLR2,Depression,Phase IV,Suspended,NovaCure,EU
CT-028175,MOLIBD3,Lung Cancer,Phase IV,Terminated,XYZ Pharma,Japan
CT-028176,MOLDEP2,Osteoporosis,Phase IV,Active,XYZ Pharma,Japan
CT-028177,MOLR3,Rheumatoid Arthritis,Phase II,Completed,MedLife Corp,Global
CT-028178,MOLO1,Respiratory,Phase III,Suspended,NovaCure,Australia
CT-028179,MOLR2,Inflammatory Bowel Disease,Phase I,Recruiting,OncoGenix,China
CT-028180,MOLM2,Asthma,Phase I,Recruiting,Sunrise Therapeutics,Canada
CT-028181,MOLD2,Osteoporosis,Phase III,Suspended,NovaCure,Australia
CT-028182,MOLRA3,Osteoporosis,Phase II,Completed,PrimeCare,Global
CT-028183,MOLHF3,Heart Failure,Phase IV,Recruiting,MedLife Corp,Global
CT-028184,MOLRA1,Chronic Kidney Disease,Phase III,Active,PrimeCare,India
CT-028185,MOLIBD3,Heart Failure,Phase II,Active,GlobalBio,US
CT-028186,MOLC,Lung Cancer,Phase IV,Recruiting,OncoGenix,Brazil
CT-028187,MOLIBD3,Hypertension,Phase IV,Completed,ABC Pharma,India
CT-028188,MOLA,Depression,Phase II,Active,Sunrise Therapeutics,Japan
CT-028189,MOLM3,Asthma,Phase IV,Recruiting,XYZ Pharma,Brazil
CT-028190,MOLHF3,Lung Cancer,Phase I,Recruiting,GlobalBio,Brazil
CT-028191,MOLHF3,Migraine,Phase II,Terminated,ABC Pharma,EU
CT-028192,MOLBC3,Psoriasis,Phase III,Terminated,MedLife Corp,US
CT-028193,MOLBC1,Psoriasis,Phase IV,Suspended,GlobalBio,Brazil
CT-028194,MOLY,Heart Failure,Phase IV,Active,Sunrise Therapeutics,Global
CT-028195,MOLCKD3,Type 2 Diabetes,Phase IV,Active,MedLife Corp,India
CT-028196,MOLD1,Migraine,Phase IV,Active,NovaCure,Japan
CT-028197,MOLA,Migraine,Phase I,Recruiting,GlobalBio,US
CT-028198,MOLBC2,Chronic Kidney Disease,Phase IV,Recruiting,XYZ Pharma,Canada
CT-028199,MOLP3,Osteoporosis,Phase II,Recruiting,NovaCure,China
CT-028200,MOLP3,COPD,Phase III,Recruiting,MedLife Corp,Global
CT-028201,MOLCKD2,Rheumatoid Arthritis,Phase I,Active,NovaCure,Japan
CT-028202,MOLCKD1,Chronic Kidney Disease,Phase I,Active,NovaCure,Canada
CT-028203,MOLCKD2,Lung Cancer,Phase II,Terminated,Sunrise Therapeutics,China
CT-028204,MOL1,Asthma,Phase II,Recruiting,ABC Pharma,EU
CT-028205,MOL1,Heart Failure,Phase I,Active,ABC Pharma,China
CT-028206,MOLP1,Heart Failure,Phase III,Completed,OncoGenix,Japan
CT-028207,MOLRA1,Osteoporosis,Phase I,Terminated,MedLife Corp,US
CT-028208,MOLR3,Heart Failure,Phase III,Suspended,PrimeCare,Brazil
CT-028209,MOLLC3,Lung Cancer,Phase IV,Active,GlobalBio,India
CT-028210,MOLX,Chronic Kidney Disease,Phase I,Recruiting,ABC Pharma,Global
CT-028211,MOLD1,Osteoporosis,Phase III,Suspended,XYZ Pharma,EU
CT-028212,MOLH1,Migraine,Phase I,Completed,XYZ Pharma,Japan
CT-028213,MOLLC2,Inflammatory Bowel Disease,Phase III,Terminated,OncoGenix,India
CT-028214,MOLLC2,Respiratory,Phase IV,Recruiting,MedLife Corp,India
CT-028215,MOLC,Inflammatory Bowel Disease,Phase II,Completed,PrimeCare,Brazil
CT-028216,MOLCKD3,Psoriasis,Phase IV,Completed,ABC Pharma,Brazil
CT-028217,MOL2,Hypertension,Phase III,Active,PrimeCare,EU
CT-028218,MOLH1,Breast Cancer,Phase II,Suspended,PrimeCare,EU
CT-028219,MOLHF3,Type 2 Diabetes,Phase II,Active,XYZ Pharma,Global
CT-028220,MOLR3,Osteoporosis,Phase II,Recruiting,XYZ Pharma,EU
CT-028221,MOLA,Osteoporosis,Phase II,Active,NovaCure,Brazil
CT-028222,MOLHF1,Asthma,Phase III,Suspended,XYZ Pharma,EU
CT-028223,MOLIBD3,Asthma,Phase II,Recruiting,ABC Pharma,China
CT-028224,MOLY,Inflammatory Bowel Disease,Phase II,Suspended,XYZ Pharma,Brazil
CT-028225,MOLLC3,Asthma,Phase IV,Completed,ABC Pharma,Japan
CT-028226,MOL2,Rheumatoid Arthritis,Phase III,Active,NovaCure,India
CT-028227,MOLH1,Psoriasis,Phase IV,Active,OncoGenix,Global
CT-028228,MOLCKD1,Respiratory,Phase IV,Suspended,PrimeCare,Japan
CT-028229,MOLIBD1,Migraine,Phase II,Terminated,MedLife Corp,Canada
CT-028230,MOLCKD3,Hypertension,Phase II,Recruiting,OncoGenix,Canada
CT-028231,MOLM1,Chronic Kidney Disease,Phase II,Active,PrimeCare,US
CT-028232,MOLR1,Migraine,Phase II,Suspended,MedLife Corp,Canada
CT-028233,MOLX,Chronic Kidney Disease,Phase IV,Completed,NovaCure,India
CT-028234,MOLLC2,Respiratory,Phase I,Completed,Sunrise Therapeutics,Japan
CT-028235,MOLO3,Psoriasis,Phase III,Suspended,XYZ Pharma,US
CT-028236,MOLH2,Heart Failure,Phase II,Active,MedLife Corp,Global
CT-028237,MOLR2,Chronic Kidney Disease,Phase III,Terminated,Sunrise Therapeutics,Canada
CT-028238,MOLDEP3,Respiratory,Phase IV,Suspended,GlobalBio,Global
CT-028239,MOLDEP2,Type 2 Diabetes,Phase I,Completed,MedLife Corp,Canada
CT-028240,MOLCKD2,Asthma,Phase IV,Terminated,OncoGenix,Global
CT-028241,MOLRA2,Depression,Phase I,Active,PrimeCare,China
CT-028242,MOLM2,Psoriasis,Phase II,Recruiting,ABC Pharma,Canada
CT-028243,MOLDEP1,Depression,Phase I,Suspended,NovaCure,EU
CT-028244,MOLHF2,Inflammatory Bowel Disease,Phase IV,Completed,MedLife Corp,US
CT-028245,MOLIBD1,Asthma,Phase II,Completed,MedLife Corp,India
CT-028246,MOLIBD1,Asthma,Phase II,Terminated,Sunrise Therapeutics,Global
CT-028247,MOLP1,Asthma,Phase I,Suspended,ABC Pharma,US
CT-028248,MOLO1,Migraine,Phase I,Suspended,NovaCure,Brazil
CT-028249,MOLX,Asthma,Phase II,Completed,PrimeCare,Japan
CT-028250,MOLCKD1,Lung Cancer,Phase III,Completed,MedLife Corp,Australia
CT-028251,MOLRA3,Heart Failure,Phase I,Terminated,ABC Pharma,India
CT-028252,MOLX,Psoriasis,Phase II,Recruiting,OncoGenix,China
CT-028253,MOLCKD1,Osteoporosis,Phase I,Suspended,XYZ Pharma,US
CT-028254,MOLD2,Migraine,Phase III,Recruiting,GlobalBio,India
CT-028255,MOL2,Inflammatory Bowel Disease,Phase IV,Active,PrimeCare,EU
CT-028256,MOLR1,Asthma,Phase I,Suspended,XYZ Pharma,Brazil
CT-028257,MOLRA3,Hypertension,Phase III,Completed,Sunrise Therapeutics,China
CT-028258,MOLHF1,Depression,Phase II,Recruiting,XYZ Pharma,Global
CT-028259,MOLH3,Chronic Kidney Disease,Phase II,Suspended,XYZ Pharma,EU
CT-028260,MOLD1,Inflammatory Bowel Disease,Phase I,Recruiting,ABC Pharma,US
CT-028261,MOLH1,Chronic Kidney Disease,Phase I,Active,Sunrise Therapeutics,US
CT-028262,MOLM1,Psoriasis,Phase IV,Active,GlobalBio,Global
CT-028263,MOLBC2,COPD,Phase III,Recruiting,Sunrise Therapeutics,China
CT-028264,MOLHF1,Osteoporosis,Phase III,Recruiting,PrimeCare,EU
CT-028265,MOLRA1,Heart Failure,Phase IV,Suspended,MedLife Corp,Japan
CT-028266,MOLO2,Chronic Kidney Disease,Phase IV,Recruiting,OncoGenix,Brazil
CT-028267,MOLCKD1,Breast Cancer,Phase II,Active,MedLife Corp,China
CT-028268,MOLH3,Psoriasis,Phase I,Suspended,ABC Pharma,Brazil
CT-028269,MOLCKD1,Migraine,Phase IV,Active,XYZ Pharma,Global
CT-028270,MOL1,Depression,Phase III,Active,XYZ Pharma,Japan
CT-028271,MOLA,Chronic Kidney Disease,Phase II,Recruiting,GlobalBio,Australia
CT-028272,MOL2,Rheumatoid Arthritis,Phase IV,Suspended,Sunrise Therapeutics,US
CT-028273,MOLM2,Depression,Phase IV,Suspended,XYZ Pharma,EU
CT-028274,MOLY,Lung Cancer,Phase II,Suspended,OncoGenix,Brazil
CT-028275,MOLBC3,Migraine,Phase I,Recruiting,MedLife Corp,Global
CT-028276,MOLLC3,Migraine,Phase II,Recruiting,GlobalBio,India
CT-028277,MOLD3,Heart Failure,Phase III,Suspended,NovaCure,China
CT-028278,MOLRA2,Migraine,Phase II,Recruiting,Sunrise Therapeutics,Brazil
CT-028279,MOLLC2,Heart Failure,Phase II,Terminated,ABC Pharma,China
CT-028280,MOLHF3,Hypertension,Phase IV,Completed,ABC Pharma,Australia
CT-028281,MOLBC2,Psoriasis,Phase IV,Terminated,GlobalBio,China
CT-028282,MOLLC3,Breast Cancer,Phase III,Suspended,XYZ Pharma,US
CT-028283,MOL1,Type 2 Diabetes,Phase II,Suspended,XYZ Pharma,India
CT-028284,MOLDEP2,Osteoporosis,Phase I,Recruiting,MedLife Corp,Canada
CT-028285,MOLD2,Inflammatory Bowel Disease,Phase II,Suspended,OncoGenix,Brazil
CT-028286,MOLCKD3,Lung Cancer,Phase II,Recruiting,NovaCure,EU
CT-028287,MOLIBD3,Psoriasis,Phase I,Completed,PrimeCare,India
CT-028288,MOLD2,Breast Cancer,Phase III,Recruiting,PrimeCare,Australia
CT-028289,MOLCKD2,Asthma,Phase III,Terminated,Sunrise Therapeutics,EU
CT-028290,MOLR1,Breast Cancer,Phase IV,Completed,ABC Pharma,Australia
CT-028291,MOLH1,Breast Cancer,Phase III,Terminated,MedLife Corp,Australia
CT-028292,MOLHF3,Depression,Phase III,Terminated,PrimeCare,Australia
CT-028293,MOLP3,Rheumatoid Arthritis,Phase II,Recruiting,Sunrise Therapeutics,Global
CT-028294,MOLBC2,Depression,Phase III,Recruiting,NovaCure,Japan
CT-028295,MOLH1,Inflammatory Bowel Disease,Phase III,Suspended,ABC Pharma,EU
CT-028296,MOLCKD2,Heart Failure,Phase II,Recruiting,Sunrise Therapeutics,China
CT-028297,MOLR1,Asthma,Phase I,Active,XYZ Pharma,Canada
CT-028298,MOLA,COPD,Phase I,Terminated,XYZ Pharma,India
CT-028299,MOLH2,COPD,Phase IV,Completed,Sunrise Therapeutics,Australia
CT-028300,MOLX,Lung Cancer,Phase III,Terminated,OncoGenix,US
CT-028301,MOLHF1,Chronic Kidney Disease,Phase IV,Completed,XYZ Pharma,US
CT-028302,MOLA,Lung Cancer,Phase IV,Active,Sunrise Therapeutics,Canada
CT-028303,MOLRA3,Respiratory,Phase I,Recruiting,XYZ Pharma,India
CT-028304,MOLD3,Inflammatory Bowel Disease,Phase II,Completed,ABC Pharma,EU
CT-028305,MOLLC1,Chronic Kidney Disease,Phase II,Suspended,MedLife Corp,India
CT-028306,MOLH1,Migraine,Phase I,Suspended,ABC Pharma,Japan
CT-028307,MOLP1,Rheumatoid Arthritis,Phase II,Suspended,ABC Pharma,Brazil
CT-028308,MOLDEP3,COPD,Phase I,Active,XYZ Pharma,Canada
