molecule,indication,country,year,sales_usd_mn,cagr_5y,competitors,patient_burden_index
MOLY,Breast Cancer,EU,2024,100.32,1.18,6,0.51
MOLRA1,Breast Cancer,Australia,2019,983.41,-0.12,7,0.29
MOLM3,Depression,EU,2016,115.57,6.18,13,0.26
MOLA,Depression,Brazil,2019,610.53,-0.0,18,0.27
MOLCKD3,Inflammatory Bowel Disease,Australia,2022,530.48,-2.71,10,0.81
MOLR3,Asthma,Brazil,2019,298.2,15.91,10,0.98
MOLH2,Breast Cancer,Global,2022,117.09,-2.68,18,0.41
MOLX,Depression,US,2024,204.56,-4.59,13,0.95
MOLY,Osteoporosis,EU,2019,784.08,11.52,6,0.39
MOLDEP2,Inflammatory Bowel Disease,Global,2019,764.41,16.82,24,0.59
MOLH2,Lung Cancer,Australia,2020,687.21,1.08,5,0.5
MOLH3,Depression,Brazil,2015,58.97,-2.31,4,0.89
MOLBC1,Type 2 Diabetes,Canada,2024,546.63,-3.72,13,0.85
MOLM3,Osteoporosis,China,2021,405.03,5.27,10,0.45
MOLH2,COPD,Brazil,2022,320.81,12.66,10,0.58
MOLM2,Asthma,US,2016,786.24,3.29,5,0.74
MOLO1,Depression,Global,2024,720.07,18.3,2,0.64
MOLH3,Respiratory,Global,2015,868.82,19.91,22,0.72
MOLD2,Osteoporosis,China,2023,834.82,4.65,23,0.86
MOLHF2,Migraine,Global,2015,530.25,2.62,17,0.64
MOLP3,Chronic Kidney Disease,Global,2019,544.7,13.51,5,0.5
MOLDEP3,COPD,EU,2023,618.77,18.2,5,0.23
MOLRA3,Type 2 Diabetes,Canada,2019,20.49,18.46,13,0.68
MOLRA2,Rheumatoid Arthritis,US,2018,615.18,18.37,16,0.48
MOLDEP1,Osteoporosis,Japan,2020,275.11,10.82,9,0.39
MOLM1,Hypertension,Australia,2016,675.12,8.76,24,0.4
MOLIBD3,Breast Cancer,Global,2024,34.73,0.17,1,0.99
MOL1,Inflammatory Bowel Disease,EU,2017,210.98,12.13,10,0.45
MOLH3,Psoriasis,Japan,2022,865.94,6.41,23,0.96
MOLA,COPD,EU,2023,786.91,-4.46,23,0.93
MOL1,Osteoporosis,Australia,2022,59.84,-1.68,13,0.38
MOL2,Chronic Kidney Disease,EU,2018,428.27,19.62,22,0.21
MOLBC1,Heart Failure,Japan,2016,981.83,1.06,14,0.67
MOLLC1,Breast Cancer,China,2016,667.93,-1.89,10,0.39
MOLH1,Heart Failure,EU,2018,240.19,-2.29,16,0.44
MOLD2,Lung Cancer,Brazil,2017,993.57,8.27,8,0.58
MOLIBD1,Heart Failure,US,2019,577.25,0.95,3,0.63
MOLLC1,Lung Cancer,Japan,2018,332.01,0.55,8,0.98
MOLBC2,Psoriasis,US,2024,881.84,0.84,9,0.86
MOLR1,Hypertension,EU,2024,231.79,13.24,8,0.77
MOLBC1,Asthma,China,2015,949.03,2.76,6,0.41
MOLIBD2,Migraine,Australia,2015,431.31,-4.88,1,0.83
MOLH3,Osteoporosis,EU,2016,993.07,16.26,16,0.69
MOLCKD3,Rheumatoid Arthritis,Australia,2022,619.27,9.91,1,0.28
MOLCKD3,COPD,Japan,2023,553.39,11.44,13,0.5
MOLH2,Asthma,Canada,2020,807.32,18.34,17,0.83
MOLH2,Psoriasis,Global,2023,563.79,11.41,7,0.21
MOLP3,Heart Failure,India,2023,449.73,13.4,10,0.67
MOLP1,Depression,Brazil,2015,789.39,2.31,23,0.68
MOLRA2,Inflammatory Bowel Disease,US,2019,390.06,9.99,12,0.65
MOLX,Asthma,Canada,2024,387.7,13.36,24,0.46
MOLBC1,COPD,Global,2019,696.86,18.66,14,0.26
MOLLC3,COPD,Brazil,2023,866.01,1.9,22,0.99
MOLDEP2,COPD,Canada,2021,491.47,6.69,14,0.5
MOLO2,Breast Cancer,Japan,2015,701.39,-2.59,15,0.72
MOLBC3,Respiratory,India,2022,33.39,-2.81,2,0.62
MOLRA3,Chronic Kidney Disease,China,2022,537.57,2.5,14,0.55
MOLX,Type 2 Diabetes,Brazil,2016,679.25,11.89,10,0.68
MOLO1,Chronic Kidney Disease,EU,2023,855.01,11.11,4,0.86
MOLH3,Asthma,India,2017,155.32,9.6,16,0.68
MOLR2,Osteoporosis,India,2020,457.13,2.37,4,0.39
MOLA,Breast Cancer,Australia,2023,339.29,12.38,5,0.64
MOLH3,Inflammatory Bowel Disease,Japan,2015,130.82,13.64,20,0.86
MOLH1,Depression,Brazil,2017,398.65,15.62,19,0.78
MOLD2,Asthma,Canada,2024,824.72,8.85,13,0.86
MOLP2,Respiratory,US,2022,334.54,-2.83,16,0.75
MOLR1,Type 2 Diabetes,China,2019,942.6,19.74,24,0.28
MOLH2,Asthma,Brazil,2023,505.76,10.13,19,0.66
MOLD1,Osteoporosis,Canada,2017,393.98,-2.71,10,0.52
MOLHF3,Breast Cancer,Global,2017,619.31,0.0,5,0.64
MOLHF3,Inflammatory Bowel Disease,Canada,2017,148.74,0.71,6,0.39
MOLDEP3,Type 2 Diabetes,Canada,2020,168.42,15.57,5,0.45
MOLCKD3,Rheumatoid Arthritis,India,2020,883.14,-2.56,8,0.76
MOLO3,Depression,Japan,2017,768.34,16.26,17,0.85
MOLRA2,COPD,Canada,2023,507.17,7.02,24,0.7
MOLO3,Rheumatoid Arthritis,Global,2015,283.5,18.82,11,0.58
MOLBC1,Migraine,Global,2022,446.45,-3.46,19,0.53
MOLR3,Respiratory,EU,2023,31.47,9.01,14,0.79
MOLIBD2,COPD,US,2021,376.89,5.66,15,0.74
MOLM3,Heart Failure,Canada,2021,378.14,4.34,8,0.82
MOLM2,Osteoporosis,Global,2022,820.68,4.38,8,0.63
MOLLC2,Asthma,Australia,2024,261.98,6.56,10,0.26
MOLCKD2,Inflammatory Bowel Disease,Canada,2017,938.13,4.85,7,0.84
MOLDEP1,Osteoporosis,China,2020,553.88,-4.2,20,0.36
MOLP2,Chronic Kidney Disease,China,2018,638.93,7.52,18,0.73
MOLLC3,Type 2 Diabetes,Brazil,2024,828.03,19.09,17,0.26
MOLCKD3,Depression,Global,2022,40.72,13.83,2,0.27
MOLDEP3,Rheumatoid Arthritis,Japan,2017,983.24,16.38,20,0.5
MOLX,Migraine,India,2017,91.36,6.74,3,0.22
MOLIBD2,Heart Failure,India,2015,299.07,-1.34,6,0.79
MOLDEP1,Depression,Australia,2015,652.2,13.94,24,0.43
MOLHF3,Chronic Kidney Disease,Canada,2017,508.51,15.07,4,0.97
MOLO3,Psoriasis,US,2015,985.86,9.65,5,0.39
MOLLC1,COPD,Brazil,2024,409.98,5.1,10,0.44
MOLHF2,Migraine,China,2016,355.93,-4.74,2,0.2
MOLIBD2,Breast Cancer,Australia,2015,381.16,1.27,23,0.88
MOLLC3,Osteoporosis,Brazil,2016,568.99,10.25,20,0.29
MOLP2,Depression,US,2022,988.83,2.62,16,0.27
MOLRA2,Osteoporosis,Australia,2017,641.76,16.32,15,0.67
MOLIBD3,COPD,Australia,2021,191.14,18.81,13,0.67
MOLD1,Hypertension,Australia,2023,571.67,8.3,12,0.3
MOLDEP3,Inflammatory Bowel Disease,Australia,2017,869.9,16.97,2,0.43
MOLIBD2,Migraine,Australia,2021,526.29,-0.4,6,0.55
MOLDEP2,Migraine,Australia,2024,844.26,10.19,9,0.49
MOLCKD1,Chronic Kidney Disease,Brazil,2022,641.75,-3.3,7,0.37
MOL1,Chronic Kidney Disease,Global,2017,882.71,-3.92,12,0.68
MOLIBD2,Hypertension,India,2022,503.95,5.0,9,0.71
MOLO3,Hypertension,China,2019,729.02,10.27,4,0.32
MOLIBD1,Asthma,Global,2024,557.15,-1.77,7,0.45
MOLO1,Type 2 Diabetes,Japan,2024,395.79,2.03,21,0.65
MOLR2,Inflammatory Bowel Disease,India,2020,659.53,11.23,24,0.44
MOLP2,Hypertension,Brazil,2016,671.94,7.87,6,0.7
MOLCKD2,Breast Cancer,Canada,2019,714.85,-0.97,6,0.62
MOLH1,Asthma,Japan,2015,771.83,4.94,6,0.35
MOLR2,Type 2 Diabetes,Japan,2020,754.76,12.35,21,0.68
MOLIBD2,Type 2 Diabetes,EU,2024,605.85,5.24,3,0.47
MOLDEP1,Heart Failure,Australia,2021,349.79,3.93,4,0.9
MOL1,Breast Cancer,US,2024,657.73,13.62,3,0.63
MOLDEP1,Lung Cancer,Canada,2019,279.87,-2.25,1,0.74
MOLIBD3,Lung Cancer,China,2016,656.89,14.22,22,0.37
MOLBC3,Inflammatory Bowel Disease,Japan,2024,466.46,16.04,6,0.73
MOLLC2,COPD,Japan,2019,366.08,0.71,8,0.66
MOLX,Heart Failure,Japan,2022,368.13,-3.89,19,0.91
MOLIBD3,Depression,Japan,2018,816.97,12.24,18,0.71
MOLCKD2,Heart Failure,India,2017,258.21,10.2,15,0.6
MOLBC3,Psoriasis,Global,2015,131.99,9.44,20,0.5
MOLP2,Migraine,China,2017,168.7,-2.8,13,0.94
MOLBC2,Lung Cancer,US,2023,454.33,2.36,10,0.62
MOLD1,Type 2 Diabetes,Canada,2021,324.47,-0.55,3,0.43
MOLH1,Type 2 Diabetes,Canada,2015,958.77,6.59,1,0.37
MOLP1,Inflammatory Bowel Disease,China,2020,676.14,6.97,3,0.67
MOLO2,Lung Cancer,Japan,2019,73.83,16.42,22,0.47
MOLA,Depression,Global,2017,909.04,14.27,3,0.59
MOLBC1,Lung Cancer,Global,2023,905.86,2.11,19,0.97
MOLBC1,Osteoporosis,Brazil,2021,841.31,3.69,4,0.62
MOLP3,Breast Cancer,US,2024,354.3,0.52,5,0.85
MOLLC1,Depression,Canada,2019,652.79,11.34,17,0.31
MOLD2,Migraine,Global,2018,638.41,5.99,19,0.86
MOLDEP3,Type 2 Diabetes,EU,2020,529.6,14.79,23,0.8
MOLBC2,Asthma,Australia,2016,87.47,-1.28,11,0.7
MOLDEP3,Depression,China,2022,214.26,16.78,22,0.54
MOL1,Psoriasis,Canada,2015,168.7,5.77,19,0.46
MOLCKD1,Psoriasis,Japan,2024,936.79,9.68,7,0.46
MOLCKD1,Hypertension,Brazil,2022,255.01,12.88,6,0.64
MOLDEP2,Chronic Kidney Disease,Global,2023,129.03,14.9,6,0.64
MOLO1,Respiratory,Australia,2017,492.57,17.04,21,0.77
MOLC,Psoriasis,India,2018,702.86,18.81,16,0.68
MOLC,Rheumatoid Arthritis,India,2016,51.64,11.91,3,0.59
MOLP3,Osteoporosis,Brazil,2021,371.33,3.69,20,0.33
MOLLC1,Type 2 Diabetes,China,2018,473.36,-3.03,22,0.81
MOLRA1,Breast Cancer,Japan,2022,129.65,11.83,3,0.93
MOLM1,Psoriasis,Global,2015,833.57,5.95,11,0.66
MOLX,Type 2 Diabetes,Canada,2021,736.88,13.11,12,0.28
MOLHF2,Heart Failure,Canada,2020,50.92,16.44,15,0.9
MOLX,Heart Failure,EU,2019,572.01,4.23,24,0.36
MOLIBD2,Hypertension,US,2020,828.23,16.45,13,0.85
MOLLC2,Depression,Japan,2018,750.34,19.18,15,0.95
MOLCKD3,Chronic Kidney Disease,India,2023,796.08,4.91,23,0.46
MOLLC3,Lung Cancer,China,2016,747.4,9.79,10,0.34
MOLIBD1,Osteoporosis,China,2015,707.72,-2.05,13,0.68
MOLIBD1,Asthma,EU,2024,400.52,6.0,4,0.62
MOLR2,Lung Cancer,Global,2020,930.75,19.33,7,0.67
MOLH1,Asthma,Canada,2022,33.73,16.29,2,0.25
MOLBC2,Type 2 Diabetes,Global,2022,66.67,11.17,24,0.78
MOLP3,Chronic Kidney Disease,Japan,2024,460.4,-4.82,18,0.69
MOL2,Asthma,Canada,2018,529.61,14.16,20,0.87
MOLCKD1,Chronic Kidney Disease,India,2018,790.23,11.1,2,0.35
MOLO3,Migraine,China,2020,182.37,18.93,7,0.39
MOLHF3,Inflammatory Bowel Disease,India,2024,642.59,4.54,21,0.74
MOLO1,Migraine,Global,2024,324.19,-1.31,8,0.38
MOLCKD1,Osteoporosis,Japan,2020,621.45,19.15,20,0.22
MOLHF2,Hypertension,Brazil,2018,132.2,11.83,22,0.29
MOLDEP3,Migraine,Brazil,2021,493.93,-0.12,24,0.25
MOLO2,Depression,China,2023,423.77,3.7,6,0.56
MOLM1,Respiratory,Canada,2023,141.57,-0.47,14,0.69
MOLLC3,Heart Failure,China,2020,333.9,0.15,23,0.73
MOLR2,Inflammatory Bowel Disease,Global,2020,652.53,-0.3,12,0.38
MOLIBD1,Osteoporosis,EU,2018,328.07,-0.99,6,0.86
MOLR3,Lung Cancer,Brazil,2019,791.51,10.69,17,0.79
MOLHF3,Heart Failure,Japan,2023,333.88,1.49,7,0.75
MOLLC3,Heart Failure,Japan,2021,696.45,3.42,16,0.9
MOLH2,COPD,Australia,2021,593.38,12.26,23,0.32
MOLR1,Respiratory,India,2023,428.79,13.91,22,0.78
MOLR3,COPD,India,2020,247.11,8.29,12,0.23
MOLD2,Osteoporosis,EU,2015,887.06,-2.25,1,0.59
MOLH3,Inflammatory Bowel Disease,EU,2017,908.04,5.13,11,0.53
MOLP2,Lung Cancer,China,2015,82.01,7.64,22,0.94
MOLDEP2,Asthma,Canada,2023,707.89,15.92,15,0.78
MOLP1,Respiratory,Australia,2023,601.63,5.81,5,0.47
MOLM3,Chronic Kidney Disease,Japan,2017,125.29,1.22,13,0.84
MOLO1,Respiratory,US,2023,888.26,-0.63,13,0.29
MOLR3,Type 2 Diabetes,India,2017,949.18,12.0,10,0.34
MOLM1,Heart Failure,India,2021,365.64,-4.67,21,0.65
MOLP3,Asthma,Brazil,2017,567.08,17.88,6,0.92
MOLIBD3,Respiratory,EU,2022,99.61,9.38,16,0.5
MOLX,Heart Failure,EU,2022,601.26,10.03,18,0.52
MOLCKD1,Chronic Kidney Disease,China,2023,908.52,13.79,4,0.93
MOLRA1,Depression,Brazil,2019,887.95,15.21,7,0.34
MOLHF3,Type 2 Diabetes,Brazil,2017,632.63,17.19,20,0.45
MOLDEP2,Breast Cancer,Australia,2015,435.77,15.33,8,0.54
MOLP3,Rheumatoid Arthritis,China,2015,779.11,8.83,18,0.57
MOLO1,Depression,China,2019,471.79,9.43,22,0.27
MOLP2,Respiratory,US,2018,883.92,4.87,15,0.98
MOLP2,Respiratory,China,2024,868.03,3.3,15,0.79
MOLC,Migraine,India,2024,387.29,17.01,1,0.72
MOLLC1,Asthma,China,2022,268.81,18.39,9,0.38
MOLHF3,Lung Cancer,Japan,2021,928.98,4.34,22,0.47
MOLR1,Type 2 Diabetes,Global,2021,62.95,3.5,12,0.29
MOL2,Hypertension,India,2019,679.6,5.32,23,0.41
MOLM2,Psoriasis,EU,2019,74.03,7.83,9,0.35
MOLLC1,Rheumatoid Arthritis,Japan,2017,944.04,-4.95,2,0.81
MOLHF1,Depression,EU,2024,71.49,-2.32,12,0.96
MOLD1,Migraine,Brazil,2022,62.36,7.68,16,0.48
MOLDEP1,Lung Cancer,Brazil,2019,868.35,18.51,23,0.38
MOLBC3,Type 2 Diabetes,Global,2023,987.87,-3.08,8,0.9
MOL2,Heart Failure,Canada,2017,629.97,5.08,15,0.33
MOLRA1,Osteoporosis,Canada,2023,429.61,8.24,19,0.63
MOLBC1,Respiratory,Global,2024,762.72,3.02,5,0.64
MOLDEP2,Chronic Kidney Disease,Global,2019,637.03,8.69,5,0.7
MOLBC1,Heart Failure,India,2017,243.02,3.1,3,0.41
MOLDEP2,COPD,Australia,2017,951.32,9.72,13,0.69
MOLRA3,Lung Cancer,Australia,2017,628.94,6.23,4,0.45
MOLR1,Breast Cancer,India,2023,510.61,10.67,12,0.83
MOLDEP1,Osteoporosis,US,2022,777.34,7.88,18,0.33
MOLBC2,COPD,Global,2022,71.79,15.76,18,0.43
MOLR2,Lung Cancer,US,2022,139.59,14.63,3,0.2
MOLH1,Osteoporosis,Canada,2024,306.19,14.64,7,0.56
MOLD1,Respiratory,Global,2024,458.17,15.09,19,0.96
MOLLC1,Breast Cancer,EU,2019,211.81,15.87,22,0.24
MOLR2,Respiratory,Japan,2024,95.93,13.42,23,0.72
MOLP1,Migraine,EU,2020,980.94,9.37,17,0.52
MOLP3,Osteoporosis,US,2016,141.87,-3.2,7,0.67
MOLHF3,Asthma,EU,2015,806.32,-3.08,22,0.59
MOLBC2,Chronic Kidney Disease,US,2021,832.76,-0.78,2,0.36
MOLBC1,Asthma,Brazil,2024,218.62,18.38,11,0.37
MOLDEP3,Heart Failure,China,2023,351.78,6.28,22,0.23
MOLHF1,Inflammatory Bowel Disease,India,2019,215.02,16.77,19,0.44
MOLLC1,Depression,Japan,2016,468.26,-2.73,15,0.96
MOLDEP3,Breast Cancer,China,2023,980.97,-1.09,6,0.43
MOLLC1,Respiratory,China,2018,498.27,8.41,7,0.24
MOLD2,Migraine,Canada,2017,391.72,14.44,14,0.95
MOLCKD1,Psoriasis,Brazil,2022,729.39,-3.04,7,0.98
MOLP2,Asthma,India,2016,941.6,8.33,24,0.49
MOLIBD2,Migraine,Australia,2020,975.83,5.91,6,0.92
MOLLC3,Inflammatory Bowel Disease,Canada,2017,175.47,3.71,14,0.79
MOLHF2,Respiratory,Japan,2018,258.03,5.19,16,0.91
MOLDEP2,Respiratory,China,2018,232.49,12.27,21,0.51
MOLRA3,Breast Cancer,India,2019,107.68,17.19,20,0.42
MOLD3,Psoriasis,Global,2020,182.32,13.01,6,0.49
MOLM1,Osteoporosis,India,2023,834.25,16.37,15,0.48
MOLLC2,COPD,Global,2017,449.97,12.15,2,0.49
MOLR1,Inflammatory Bowel Disease,Japan,2023,998.09,18.5,22,0.6
MOLLC1,Migraine,Australia,2022,977.29,-2.33,5,0.77
MOLD2,Rheumatoid Arthritis,Japan,2020,276.8,5.99,19,0.77
MOLP1,Inflammatory Bowel Disease,Australia,2020,498.47,15.62,24,0.88
MOLO1,Osteoporosis,China,2015,519.98,2.78,1,0.8
MOLH1,Chronic Kidney Disease,Global,2015,627.66,-2.76,17,0.59
MOLBC3,Osteoporosis,Australia,2023,521.32,0.88,3,0.46
MOLHF2,Migraine,China,2015,33.25,-4.84,18,0.67
MOLDEP3,Inflammatory Bowel Disease,Australia,2020,216.15,-3.63,18,0.45
MOLP2,Rheumatoid Arthritis,EU,2018,282.41,17.71,15,0.4
MOLLC2,Psoriasis,US,2017,993.73,17.04,11,0.21
MOLIBD2,Heart Failure,Canada,2019,966.48,15.39,15,0.4
MOLLC1,Depression,Brazil,2017,541.98,0.71,7,0.86
MOLRA2,Lung Cancer,US,2016,348.29,-2.3,4,0.54
MOLLC3,Type 2 Diabetes,Australia,2022,633.27,1.05,19,0.93
MOLO1,Breast Cancer,Brazil,2019,920.38,18.38,4,0.87
MOL1,Depression,Global,2023,698.24,10.36,17,0.75
MOLRA3,Inflammatory Bowel Disease,Australia,2015,796.23,8.62,8,0.72
MOLHF3,Hypertension,Canada,2023,435.22,8.05,14,0.73
MOL2,Osteoporosis,Japan,2023,576.23,-1.57,5,0.37
MOL1,Psoriasis,Japan,2020,313.72,16.1,16,0.87
MOLC,COPD,Brazil,2022,165.51,2.33,21,0.94
MOLR2,Inflammatory Bowel Disease,Australia,2021,402.99,2.44,14,0.34
MOLM3,Heart Failure,Brazil,2015,427.33,4.41,24,0.54
MOLBC3,Type 2 Diabetes,Canada,2016,280.21,2.81,3,0.78
MOLR1,Psoriasis,Brazil,2024,591.51,4.57,1,0.24
MOLHF3,Respiratory,Australia,2024,480.46,-1.16,8,0.31
MOLC,Rheumatoid Arthritis,Canada,2019,830.38,5.36,1,0.65
MOLLC3,Osteoporosis,US,2024,930.36,7.2,1,0.45
MOLIBD3,Asthma,EU,2016,721.32,14.48,17,0.23
MOL1,Type 2 Diabetes,Global,2017,164.21,18.05,9,0.56
MOLIBD1,Depression,EU,2015,573.46,15.83,11,0.9
MOLH1,Breast Cancer,EU,2017,753.68,16.91,16,0.25
MOLY,Heart Failure,Global,2024,956.89,3.57,17,0.27
MOLCKD1,Respiratory,EU,2021,475.86,7.34,10,0.57
MOLCKD1,Heart Failure,EU,2015,264.16,13.75,9,0.87
MOLD2,Respiratory,Australia,2024,738.58,9.32,9,0.82
MOLR2,Type 2 Diabetes,China,2019,146.69,16.19,6,0.92
MOLA,Hypertension,Japan,2015,61.59,15.47,2,0.9
MOLHF1,Psoriasis,India,2017,89.23,2.77,11,0.63
MOLP3,Lung Cancer,Global,2020,761.86,7.2,24,0.41
MOLBC2,Rheumatoid Arthritis,Canada,2024,157.16,4.98,9,0.29
MOL1,Respiratory,China,2019,377.12,14.02,9,0.4
MOLD2,Migraine,Brazil,2019,294.41,1.75,19,0.21
MOLM3,Depression,Global,2018,544.2,14.15,12,0.47
MOLLC2,Chronic Kidney Disease,Japan,2019,609.9,9.8,13,0.71
MOLH3,Osteoporosis,India,2020,451.76,1.72,13,0.56
MOLO2,Depression,Global,2024,646.59,5.09,10,0.83
MOLY,Chronic Kidney Disease,US,2023,565.55,19.19,23,0.45
MOLR2,Heart Failure,Canada,2024,101.93,14.45,13,0.59
MOLLC3,Migraine,Canada,2019,437.3,-3.37,15,0.52
MOLO3,COPD,EU,2022,144.18,16.6,5,0.79
MOLO2,Heart Failure,Canada,2020,816.47,-1.43,14,0.7
MOLBC3,Lung Cancer,China,2019,939.24,16.21,21,0.63
MOLO2,Lung Cancer,Japan,2020,643.91,6.85,14,0.54
MOLY,Rheumatoid Arthritis,Canada,2016,555.5,14.6,11,0.78
MOLH2,COPD,China,2020,199.62,-3.41,23,0.24
MOLP1,Migraine,US,2020,640.24,14.69,9,0.48
MOLBC3,Chronic Kidney Disease,Global,2024,281.99,13.93,9,0.74
MOLRA2,Chronic Kidney Disease,US,2019,847.67,11.46,2,0.27
MOLBC3,Rheumatoid Arthritis,Global,2016,325.93,12.22,1,0.76
MOLM2,Rheumatoid Arthritis,US,2022,44.22,-4.85,24,0.64
MOLM2,Rheumatoid Arthritis,Global,2016,330.41,3.35,8,0.72
MOLP1,Psoriasis,Australia,2020,878.22,-1.01,8,0.2
MOLIBD3,Hypertension,Australia,2015,48.67,1.93,6,0.5
MOLH1,Respiratory,China,2018,935.53,14.73,4,0.93
MOLO1,Inflammatory Bowel Disease,Australia,2018,331.72,13.51,13,0.59
MOLCKD3,Depression,India,2024,599.49,14.5,21,0.92
MOLX,COPD,China,2024,721.71,9.83,1,0.45
MOLBC2,Breast Cancer,Brazil,2023,863.06,17.62,2,0.85
MOLC,Hypertension,Global,2017,360.56,18.77,13,0.76
MOLHF2,Breast Cancer,Australia,2018,141.55,5.23,10,0.4
MOLRA2,Breast Cancer,Brazil,2018,54.9,5.0,24,0.71
MOLM1,Type 2 Diabetes,Brazil,2021,838.6,7.46,20,0.89
MOLDEP2,Rheumatoid Arthritis,China,2020,681.79,13.81,22,0.3
MOLHF2,Type 2 Diabetes,Australia,2017,343.81,-3.86,1,0.7
MOLR3,Psoriasis,Australia,2020,676.93,-1.2,14,0.51
MOLC,Respiratory,EU,2018,532.09,16.39,10,0.77
MOLC,Type 2 Diabetes,Canada,2018,26.01,15.41,24,0.66
MOLIBD2,Psoriasis,Canada,2020,731.13,12.77,19,0.54
MOLHF3,COPD,Australia,2022,454.18,-3.37,21,0.44
MOLA,Lung Cancer,India,2016,314.67,9.21,13,0.97
MOLP1,Depression,Australia,2024,707.73,1.64,15,0.82
MOLBC3,COPD,India,2022,262.84,2.35,5,0.31
MOLBC2,Breast Cancer,Global,2019,720.7,8.15,11,0.74
MOLD3,Psoriasis,India,2017,87.08,18.24,23,0.39
MOLD3,Inflammatory Bowel Disease,US,2016,378.17,0.03,24,0.74
MOLLC3,Heart Failure,EU,2017,158.97,1.08,13,0.76
MOLH2,Hypertension,Japan,2023,942.29,10.46,18,0.39
MOLHF2,Depression,Brazil,2015,384.77,3.27,14,0.84
MOLIBD2,COPD,Australia,2017,381.61,12.38,13,0.47
MOLO1,Respiratory,China,2023,929.52,10.61,21,0.22
MOLCKD3,Depression,US,2020,703.78,-3.59,1,0.95
MOLY,Osteoporosis,Australia,2018,121.15,8.39,6,0.27
MOLX,Osteoporosis,China,2024,480.65,17.57,11,0.48
MOLCKD1,COPD,Global,2018,532.62,6.68,5,0.29
MOLIBD3,Osteoporosis,Global,2018,403.73,8.76,1,0.62
MOLR1,Chronic Kidney Disease,US,2018,915.01,19.35,7,0.71
MOLD1,Asthma,China,2015,921.1,14.93,14,0.3
MOLLC3,Breast Cancer,Australia,2021,192.22,16.95,1,0.64
MOLHF2,Heart Failure,EU,2015,161.33,13.6,3,0.22
MOLDEP2,Lung Cancer,US,2023,198.59,11.54,21,0.62
MOLR1,Migraine,Brazil,2019,135.18,-1.36,10,0.89
MOLR2,Asthma,US,2023,101.86,7.54,3,0.99
MOLCKD1,Asthma,US,2024,31.51,18.41,22,0.58
MOLCKD2,Lung Cancer,China,2021,720.38,14.69,4,0.61
MOLHF2,Respiratory,Global,2018,547.42,-2.4,24,0.41
MOLHF3,Lung Cancer,Australia,2018,537.78,14.39,8,0.23
MOLIBD1,Lung Cancer,Global,2017,412.02,13.17,20,0.87
MOLBC1,Chronic Kidney Disease,Japan,2018,127.26,-4.88,1,0.47
MOLP3,Psoriasis,Global,2015,954.45,9.73,3,0.43
MOLH3,Type 2 Diabetes,Japan,2018,602.66,1.86,11,0.52
MOLP3,Depression,Japan,2019,368.98,17.64,19,0.76
MOLM1,Migraine,Japan,2021,389.21,11.32,3,0.3
MOLP1,Asthma,Australia,2019,418.72,6.95,17,0.31
MOLY,Osteoporosis,China,2023,613.96,14.9,15,0.71
MOLBC2,Rheumatoid Arthritis,Brazil,2024,154.36,12.68,18,0.55
MOLDEP3,Migraine,US,2022,872.98,7.11,14,0.48
MOLLC3,Osteoporosis,Brazil,2021,174.57,3.63,22,0.61
MOLP1,Inflammatory Bowel Disease,Australia,2023,135.74,18.55,20,0.99
MOLD3,Chronic Kidney Disease,China,2020,665.79,6.5,1,0.31
MOL1,Osteoporosis,Australia,2022,26.72,-3.43,9,0.7
MOLO3,Asthma,Canada,2024,666.51,9.77,2,0.26
MOLA,Respiratory,India,2016,789.4,11.39,17,0.67
MOLHF2,Heart Failure,Japan,2024,732.88,-4.45,8,0.43
MOLDEP2,Breast Cancer,Australia,2016,361.65,-3.41,21,0.41
MOLLC2,COPD,Brazil,2018,179.65,13.77,5,0.83
MOLD1,COPD,Canada,2021,79.3,5.92,1,0.85
MOLBC1,Type 2 Diabetes,India,2018,342.31,12.49,16,0.93
MOLCKD2,Breast Cancer,EU,2022,674.22,16.7,3,0.69
MOLR2,Hypertension,Brazil,2017,367.03,3.34,16,0.89
MOLH3,Inflammatory Bowel Disease,US,2024,714.88,0.18,2,0.86
MOLP1,Breast Cancer,Canada,2020,816.95,5.15,19,0.74
MOLO3,Inflammatory Bowel Disease,China,2021,931.09,1.79,5,0.34
MOLD2,Depression,India,2018,164.21,0.52,8,0.91
MOLO3,COPD,Australia,2017,318.84,19.35,22,0.96
MOLD1,Type 2 Diabetes,Japan,2015,860.29,3.83,16,0.87
MOLBC1,Breast Cancer,China,2017,169.96,0.47,18,0.95
MOLA,Heart Failure,Global,2019,113.15,0.18,22,0.74
MOLCKD2,Type 2 Diabetes,EU,2023,148.9,16.98,8,0.38
MOLM1,Asthma,US,2020,109.64,-0.3,14,0.5
MOLD2,COPD,US,2021,311.92,0.36,2,0.73
MOLDEP2,Osteoporosis,EU,2015,849.36,14.95,17,0.38
MOLM3,Migraine,China,2024,40.92,8.36,20,0.58
MOL1,Depression,Australia,2015,783.69,6.17,3,0.6
MOLIBD3,Heart Failure,Japan,2016,953.95,17.86,13,0.6
MOLR1,COPD,EU,2018,132.5,15.04,11,0.8
MOLLC2,Depression,Canada,2019,832.65,16.45,4,0.28
MOLD2,Migraine,India,2022,250.57,8.32,17,0.79
MOLC,Osteoporosis,Global,2019,812.41,3.91,9,0.42
MOLBC1,Heart Failure,India,2022,795.04,4.07,20,0.66
