molecule,formulation,country,year,import_tonnes,export_tonnes
MOLC,Tablet,Australia,2018,129.18,158.09
MOLD1,Capsule,Japan,2022,121.16,188.09
MOLDEP1,Patch,Australia,2017,175.23,6.23
MOL2,Injection,EU,2016,183.18,11.39
MOLLC3,API,Canada,2020,40.89,105.09
MOLC,API,Canada,2018,101.85,174.97
MOLCKD2,API,US,2020,143.21,131.66
MOLDEP1,Syrup,China,2022,111.52,6.4
MOLRA3,Injection,India,2020,134.63,63.74
MOLO1,Patch,Global,2017,109.19,71.45
MOLA,Syrup,Global,2019,125.43,92.08
MOLM2,Ointment,Brazil,2015,180.44,130.28
MOLR2,Patch,Japan,2021,112.55,191.17
MOLRA1,Tablet,China,2024,4.36,45.86
MOLH1,Capsule,Japan,2019,68.87,65.42
MOLO3,Capsule,Canada,2015,140.35,107.09
MOLIBD2,Suspension,India,2020,183.23,159.6
MOLP1,Capsule,India,2022,6.63,26.21
MOLD2,API,US,2020,89.26,94.19
MOLH2,Capsule,US,2024,92.72,159.06
MOLRA2,Capsule,Canada,2021,103.3,59.99
MOLCKD1,Syrup,Japan,2019,176.16,158.9
MOLH1,Capsule,India,2015,149.96,158.6
MOLBC2,Syrup,Brazil,2022,156.41,9.38
MOLR3,Tablet,Brazil,2016,141.66,138.25
MOLH3,Patch,China,2015,1.33,146.28
MOLRA2,Capsule,EU,2024,76.43,101.73
MOLH3,API,Canada,2022,55.49,2.77
MOLLC2,Inhaler,US,2022,72.33,160.12
MOLD3,Injection,EU,2022,133.9,91.78
MOLO1,Suspension,China,2019,100.37,36.78
MOLHF3,Suspension,US,2024,139.26,127.97
MOLP1,Injection,Canada,2015,184.86,117.9
MOLC,Patch,Brazil,2018,121.79,67.69
MOLO3,Inhaler,Brazil,2023,156.09,23.15
MOLCKD1,Tablet,Canada,2020,42.69,10.48
MOLLC3,Patch,China,2024,61.16,165.3
MOLX,Inhaler,Global,2021,185.71,105.73
MOLH1,Inhaler,Canada,2021,29.9,175.89
MOLIBD3,API,Brazil,2021,109.46,37.0
MOLLC3,Ointment,India,2024,4.6,10.28
MOLHF1,Suspension,Canada,2021,22.2,80.54
MOLD1,Patch,Japan,2022,139.57,95.47
MOLD1,API,Brazil,2016,28.53,70.08
MOLC,API,China,2015,167.99,44.85
MOLIBD2,Injection,EU,2020,49.1,123.29
MOLCKD3,Ointment,Japan,2020,58.64,56.31
MOL2,Syrup,Global,2019,130.93,174.33
MOLA,API,EU,2023,17.97,119.64
MOLDEP2,API,Brazil,2022,173.32,73.24
MOLDEP1,Suspension,Japan,2019,117.59,191.41
MOLO3,Suspension,India,2021,78.42,121.73
MOLH1,Suspension,Australia,2017,48.59,170.58
MOL2,Patch,Brazil,2020,68.85,119.93
MOLRA1,Injection,Brazil,2024,78.36,10.57
MOLH1,Tablet,Japan,2023,86.18,177.57
MOLO3,Inhaler,Brazil,2016,159.63,179.65
MOLLC2,Suspension,China,2016,14.15,173.23
MOLIBD3,Inhaler,Global,2021,131.33,180.03
MOLDEP1,Syrup,India,2019,63.77,134.6
MOLC,Syrup,US,2018,83.44,150.76
MOLD3,API,EU,2024,44.77,58.79
MOLRA3,Patch,EU,2023,101.72,71.66
MOLBC2,Syrup,Brazil,2023,112.25,162.2
MOLM3,Patch,Brazil,2015,54.36,64.9
MOLD1,Patch,EU,2022,34.33,190.95
MOLIBD1,Suspension,Australia,2019,153.41,84.39
MOLHF2,Patch,Australia,2017,22.83,169.04
MOLC,Tablet,Brazil,2018,195.59,171.53
MOLIBD3,Syrup,Japan,2016,74.92,57.22
MOLO1,Suspension,Global,2018,110.09,132.22
MOLX,Syrup,India,2015,72.65,15.05
MOLD1,Tablet,Brazil,2021,158.78,98.51
MOLP1,API,Global,2022,56.87,188.11
MOLR3,Capsule,US,2021,139.78,163.5
MOLO3,Patch,China,2017,34.03,77.97
MOLBC2,Capsule,India,2024,72.42,22.66
MOLLC2,Ointment,EU,2023,151.28,139.51
MOLRA2,Syrup,US,2017,92.42,143.32
MOLR3,Capsule,EU,2024,131.72,153.28
MOLO2,Ointment,India,2022,145.55,58.0
MOLRA3,Ointment,US,2015,2.02,110.78
MOLO2,API,China,2016,194.14,76.56
MOLR2,API,Canada,2023,112.13,180.49
MOL2,API,Australia,2016,108.01,173.58
MOLP1,Patch,China,2021,147.68,55.21
MOLX,Patch,Japan,2022,183.1,39.49
MOLLC1,API,US,2020,115.86,120.02
MOLH1,Syrup,India,2016,196.75,127.11
MOL2,Patch,Australia,2020,151.32,57.01
MOLIBD3,Inhaler,EU,2018,22.86,105.7
MOLO2,Ointment,Japan,2024,129.02,1.98
MOLLC1,Inhaler,Japan,2019,8.54,101.2
MOLLC2,Capsule,Australia,2023,31.08,192.94
MOLX,Suspension,Global,2019,186.97,86.97
MOLBC2,Capsule,Japan,2018,142.8,102.3
MOLR2,API,EU,2021,93.29,100.65
MOLCKD1,Inhaler,Global,2023,73.27,138.43
MOLA,Inhaler,US,2021,86.96,131.0
MOLH3,Syrup,Brazil,2018,39.48,117.64
MOLLC3,API,Brazil,2020,122.2,80.97
MOL2,API,India,2017,5.11,99.24
MOLRA2,Patch,China,2023,56.54,162.81
MOLR3,Suspension,Japan,2022,104.96,156.34
MOL2,Syrup,China,2021,146.97,134.0
MOLHF2,Tablet,EU,2020,162.46,0.33
MOLP2,Suspension,Australia,2024,73.16,90.79
MOLP3,Ointment,Brazil,2021,120.76,21.66
MOLD3,Ointment,EU,2022,72.37,99.09
MOLR1,Syrup,China,2021,108.05,19.54
MOLDEP3,Patch,US,2017,29.44,146.81
MOLO2,Patch,Global,2023,119.6,160.79
MOLM1,Injection,India,2024,9.37,13.02
MOLIBD2,Ointment,Global,2024,185.68,163.49
MOLHF1,Patch,China,2015,78.2,22.91
MOLH1,Capsule,Australia,2020,14.0,49.97
MOLR2,Syrup,Japan,2017,161.79,21.96
MOLD2,API,Australia,2024,19.89,13.32
MOL1,Syrup,Brazil,2023,85.54,77.57
MOL2,Tablet,US,2017,158.61,17.11
MOLRA2,Syrup,Brazil,2020,195.76,15.87
MOLY,API,Global,2016,47.68,55.73
MOLRA3,Capsule,China,2021,38.47,159.26
MOL1,Inhaler,Canada,2020,94.04,185.88
MOLIBD2,Syrup,Australia,2018,106.2,60.3
MOLP2,Inhaler,Canada,2020,91.78,161.78
MOLBC3,Syrup,Canada,2024,43.88,2.07
MOLCKD3,Tablet,Canada,2024,8.69,172.77
MOLR2,Inhaler,Canada,2017,152.95,108.58
MOLCKD3,Suspension,EU,2015,101.78,129.2
MOLR1,Tablet,Global,2023,168.08,143.39
MOLP1,Syrup,Australia,2023,114.72,53.25
MOLBC2,Tablet,Brazil,2022,10.5,65.3
MOLBC2,API,India,2016,59.39,183.77
MOLHF2,Suspension,US,2024,35.22,114.92
MOLLC3,Syrup,Global,2022,34.49,37.91
MOLH2,Capsule,Brazil,2023,127.41,157.91
MOLRA2,Ointment,Brazil,2021,152.21,119.64
MOLD3,Ointment,India,2016,29.65,133.43
MOLLC3,Syrup,Japan,2017,120.05,188.68
MOLM2,Injection,Brazil,2023,28.15,53.2
MOLBC2,Inhaler,India,2017,29.07,54.31
MOLX,Suspension,Japan,2022,141.63,154.96
MOLR1,Suspension,EU,2019,33.03,9.94
MOLRA3,Syrup,EU,2019,150.68,114.95
MOLR1,Injection,EU,2019,44.55,17.88
MOLLC2,Patch,Brazil,2019,81.08,102.69
MOLDEP1,Tablet,India,2015,62.14,17.34
MOLR1,API,EU,2015,189.93,87.78
MOLO1,Capsule,Global,2024,116.18,85.76
MOL2,Syrup,Brazil,2022,19.74,119.41
MOLLC2,Injection,India,2020,146.98,176.29
MOLDEP3,Ointment,China,2016,110.62,119.21
MOLHF3,Injection,India,2017,78.88,87.21
MOLR2,Injection,Japan,2020,89.88,55.82
MOLM1,Suspension,Brazil,2024,4.01,158.56
MOLD1,Injection,Australia,2015,162.06,12.05
MOLDEP1,Tablet,India,2018,155.58,168.46
MOLC,Inhaler,Brazil,2024,153.35,192.46
MOLCKD3,API,China,2019,101.67,164.86
MOLDEP3,API,Canada,2016,91.61,185.09
MOLRA3,Tablet,EU,2022,163.39,15.03
MOLO3,API,Global,2022,61.36,63.97
MOLIBD3,Patch,Japan,2018,54.02,163.24
MOLBC2,Injection,US,2015,104.94,121.3
MOLCKD1,Patch,Australia,2019,119.07,43.31
MOLLC1,Tablet,China,2020,170.74,115.3
MOLRA3,Patch,EU,2016,185.14,27.28
MOLHF1,API,Australia,2021,162.77,49.39
MOLP3,Tablet,Global,2021,51.79,139.87
MOLM3,Suspension,EU,2015,58.42,35.09
MOLRA3,Syrup,Japan,2024,24.59,73.65
MOLLC3,Patch,Global,2024,177.51,199.63
MOLX,Capsule,Japan,2019,139.7,183.48
MOLIBD2,Tablet,Global,2024,77.44,190.45
MOLR2,Inhaler,China,2016,185.01,90.72
MOLCKD3,API,India,2021,46.32,13.37
MOLH1,Patch,Australia,2015,174.32,133.82
MOLC,Tablet,Japan,2020,30.54,99.65
MOLDEP3,Syrup,China,2017,94.2,137.06
MOLRA2,Inhaler,Japan,2023,173.81,112.11
MOLHF2,Patch,EU,2017,83.2,125.94
MOLDEP1,Inhaler,US,2021,125.42,138.65
MOLIBD2,Tablet,Brazil,2015,195.3,144.29
MOLCKD2,Capsule,EU,2020,146.04,4.16
MOLD3,Patch,EU,2015,168.08,62.39
MOLO3,Injection,Canada,2017,70.96,166.43
MOLIBD1,API,Australia,2021,38.86,11.35
MOLX,API,US,2024,145.27,81.1
MOLD1,Capsule,India,2015,48.43,98.18
MOLM2,Syrup,EU,2016,123.57,180.07
MOLCKD3,Tablet,Canada,2020,109.42,102.0
MOLCKD1,API,Japan,2021,12.24,94.04
MOLH3,Syrup,EU,2016,92.1,66.6
MOLDEP1,Inhaler,EU,2022,161.3,130.02
MOLM2,Ointment,Canada,2022,163.66,29.81
MOLLC3,Tablet,China,2021,79.67,118.11
MOLR3,Capsule,China,2016,93.03,132.52
MOLO2,Patch,EU,2021,3.92,89.75
MOLIBD3,Injection,Australia,2023,198.38,188.82
MOLIBD1,API,EU,2017,85.87,195.78
MOLC,Syrup,EU,2016,6.98,188.94
MOLM3,Injection,US,2015,98.29,127.36
MOLHF3,Tablet,Australia,2017,91.58,134.75
MOLR3,API,China,2020,190.35,17.07
MOLDEP2,Suspension,US,2022,52.81,122.18
MOLRA1,Ointment,US,2024,63.37,60.35
MOLCKD3,API,US,2021,86.31,27.69
MOLLC1,Suspension,Global,2016,174.55,155.05
MOLCKD3,Suspension,EU,2015,56.73,91.72
MOLDEP1,Syrup,Global,2019,161.86,39.79
MOLIBD3,Inhaler,Australia,2016,53.13,32.06
MOLC,Suspension,Canada,2016,58.49,113.76
MOLRA2,Capsule,Australia,2023,164.04,193.9
MOLO1,Syrup,Australia,2022,131.19,164.51
MOLCKD3,Ointment,Brazil,2016,185.25,178.25
MOL1,Suspension,Canada,2021,32.63,113.89
MOLR1,Ointment,India,2023,161.13,154.17
MOLO3,API,Japan,2020,192.19,130.61
MOLD3,Syrup,Australia,2015,66.29,178.85
MOLP3,API,Brazil,2024,84.85,23.87
MOLBC2,Suspension,India,2020,15.38,13.79
MOLO3,Suspension,Brazil,2024,97.47,102.22
MOLLC2,Syrup,Australia,2019,147.39,47.55
MOLDEP1,Capsule,Japan,2020,131.8,158.6
MOLO1,Patch,Brazil,2016,126.45,179.43
MOL2,Injection,Japan,2023,150.12,102.52
MOLHF2,Tablet,India,2019,198.07,123.95
MOLR1,Tablet,Australia,2020,4.22,165.29
MOLDEP2,API,EU,2019,172.68,37.42
MOLR2,Tablet,Japan,2023,165.98,6.24
MOLH1,Patch,US,2016,80.66,57.08
MOLRA3,Ointment,Global,2019,120.49,145.35
MOLD3,Capsule,Japan,2018,76.81,152.9
MOLH3,Syrup,India,2021,148.31,176.09
MOLHF3,Injection,US,2024,137.27,77.78
MOL2,Suspension,China,2019,25.86,3.96
MOLO1,Tablet,Global,2016,142.38,30.06
MOLLC2,Patch,EU,2015,122.37,8.39
MOLR1,Suspension,Japan,2019,156.03,59.57
MOLP2,Ointment,Brazil,2016,90.85,43.97
MOLHF2,Patch,China,2023,134.82,116.38
MOLBC2,API,Canada,2019,24.13,14.13
MOLO2,Ointment,US,2024,162.91,124.07
MOLP1,Capsule,EU,2024,26.04,34.6
MOLHF3,Tablet,Australia,2016,147.19,172.52
MOLD1,Syrup,India,2023,15.53,149.96
MOLHF3,Syrup,Global,2017,160.34,65.44
MOLM1,Capsule,Japan,2015,14.43,183.54
MOLM2,Tablet,Global,2017,26.19,134.96
MOLO2,Inhaler,Japan,2016,188.64,120.25
MOLD1,Tablet,US,2021,111.66,185.73
MOLO1,API,Global,2020,85.44,187.1
MOL1,Injection,Brazil,2018,45.41,142.59
MOLO1,Inhaler,Japan,2015,111.14,67.34
MOLM2,Patch,China,2021,20.5,40.15
MOLBC3,Patch,Australia,2016,43.79,64.86
MOLR2,Tablet,US,2017,157.59,97.39
MOLBC1,Inhaler,India,2018,175.44,119.21
MOLO1,Inhaler,US,2022,80.49,50.43
MOLLC3,Suspension,China,2020,27.77,52.71
MOLBC1,Syrup,US,2015,187.29,122.48
MOLBC2,Patch,US,2016,51.15,105.15
MOLC,Capsule,US,2022,1.05,83.53
MOLLC2,Patch,Australia,2024,10.81,190.03
MOLHF1,Patch,Japan,2024,7.52,98.63
MOLD3,Ointment,Brazil,2023,76.95,29.96
MOLX,Suspension,EU,2023,196.88,28.5
MOLY,Inhaler,Brazil,2024,171.32,191.72
MOLBC1,API,Canada,2018,172.78,141.04
MOLO1,Syrup,US,2017,196.82,53.57
MOLRA3,API,Canada,2017,106.71,18.73
MOLLC3,Injection,China,2023,156.31,85.81
MOLP3,Ointment,Canada,2023,182.53,28.88
MOLO1,Inhaler,Japan,2022,98.16,47.67
MOLLC2,Inhaler,Australia,2021,177.3,176.14
MOLP1,Injection,Australia,2017,85.18,67.54
MOLH2,API,India,2016,79.13,105.17
MOLLC1,Capsule,Canada,2021,113.61,30.14
MOLDEP3,Injection,EU,2015,30.88,170.19
MOLHF2,Injection,China,2023,2.66,75.67
MOLD2,Inhaler,Brazil,2022,111.95,21.48
MOLR3,API,China,2018,144.82,34.33
MOLP3,Suspension,Brazil,2020,61.59,133.95
MOLR2,Syrup,Canada,2018,176.69,194.14
MOLRA1,Injection,Australia,2016,70.96,105.53
MOLDEP2,Syrup,Australia,2017,196.7,127.47
MOLP3,Inhaler,Japan,2021,46.39,118.14
MOLD2,Inhaler,Brazil,2022,70.4,66.62
MOLRA2,Suspension,China,2015,94.34,13.21
MOLA,Injection,Brazil,2017,64.03,23.95
MOLHF3,Tablet,US,2023,51.81,12.31
MOLD3,Syrup,Australia,2019,81.58,20.36
MOLH3,Ointment,US,2020,140.1,110.44
MOLH3,Inhaler,Australia,2016,34.48,137.48
MOLR1,Capsule,Brazil,2020,24.05,56.81
MOL2,Patch,Canada,2015,123.46,178.07
MOLCKD2,Capsule,EU,2019,129.76,3.79
MOLCKD2,Ointment,China,2023,28.01,156.9
MOLP1,API,Canada,2023,55.09,165.49
MOLH1,Ointment,China,2017,26.84,121.78
MOLM1,Tablet,US,2015,182.62,4.8
MOLRA1,Inhaler,Japan,2017,147.35,60.32
MOLH3,Suspension,India,2023,81.9,91.97
MOLP3,Tablet,Canada,2016,136.89,94.05
MOLIBD1,API,Japan,2019,77.78,96.64
MOLCKD3,Injection,Global,2022,193.88,151.79
MOLO2,Patch,China,2020,108.01,68.96
MOLDEP1,Capsule,US,2024,109.95,11.89
MOLRA1,Injection,Global,2019,131.13,125.43
MOLP2,Injection,Canada,2024,22.3,13.83
MOLP3,Injection,Canada,2016,41.64,92.8
MOLP3,Syrup,China,2022,147.47,128.79
MOLIBD1,Capsule,Australia,2020,61.47,129.12
MOLX,Patch,EU,2019,81.1,84.35
MOLA,Capsule,Japan,2019,49.11,25.47
MOLIBD3,API,Brazil,2016,51.63,196.86
MOLBC1,Patch,US,2022,49.16,58.73
MOLO2,Syrup,Brazil,2020,75.28,146.02
MOLDEP2,Ointment,China,2020,37.28,71.75
MOLD3,Suspension,Japan,2018,156.43,162.22
MOLR2,API,India,2016,50.36,121.48
MOLIBD3,Tablet,Global,2017,74.11,92.13
MOLHF2,Ointment,Global,2015,23.46,157.7
MOLR1,Tablet,Brazil,2019,106.36,85.08
MOLIBD3,API,US,2015,127.41,156.33
MOLY,Tablet,EU,2018,92.1,85.15
MOLIBD1,Patch,Global,2018,194.76,99.53
MOLC,Injection,China,2024,19.81,115.18
MOLBC2,Syrup,Canada,2018,77.28,159.11
MOLLC3,Ointment,Global,2019,72.21,146.41
MOLH2,Inhaler,Brazil,2016,187.73,165.17
MOLRA3,API,Brazil,2018,129.43,186.31
MOLD1,Suspension,Japan,2021,80.41,159.27
MOLH1,Capsule,US,2022,63.61,40.63
MOLHF3,Inhaler,Brazil,2017,91.02,72.2
MOLR2,API,Brazil,2015,133.78,99.22
MOL2,Capsule,Global,2016,114.37,49.84
MOLLC3,Injection,US,2022,117.01,76.63
MOLCKD2,Patch,Japan,2019,61.95,60.56
MOLP3,Tablet,US,2021,65.93,183.37
MOLM2,Capsule,Japan,2016,137.54,78.32
MOLCKD1,Suspension,China,2015,152.31,86.57
MOLRA3,Ointment,EU,2021,54.85,131.63
MOLD1,Syrup,Japan,2024,160.13,80.81
MOLCKD2,API,EU,2019,17.71,192.78
MOLBC3,Patch,Australia,2017,185.5,25.22
MOLD2,Syrup,India,2019,125.66,145.15
MOLM3,Capsule,Global,2024,102.68,33.75
MOLDEP1,Patch,Australia,2023,23.08,98.45
MOLR3,Suspension,Brazil,2019,177.42,133.53
MOLHF3,Tablet,US,2016,48.83,165.81
MOLIBD3,Patch,Japan,2023,60.23,158.73
MOLDEP3,Capsule,Japan,2017,116.92,101.92
MOLR3,Inhaler,Japan,2020,74.45,165.87
MOLDEP2,Injection,Brazil,2022,96.88,46.97
MOLX,Injection,Australia,2016,55.62,165.75
MOLHF1,Inhaler,Australia,2020,132.21,93.79
MOLM3,Suspension,Global,2019,150.34,99.87
MOLM2,API,Australia,2022,179.46,36.24
MOLY,Capsule,China,2016,140.75,28.49
MOLP3,Suspension,India,2017,165.95,101.51
MOLR1,Ointment,Global,2020,91.26,19.12
MOLD1,API,Global,2019,190.59,61.64
MOLIBD2,Tablet,US,2017,169.95,183.97
MOLCKD2,Inhaler,EU,2021,118.68,166.76
MOLHF3,Injection,US,2022,17.04,18.98
MOLRA1,Ointment,Brazil,2021,87.3,163.18
MOLBC1,Patch,Canada,2017,133.76,153.92
MOLY,Patch,Brazil,2018,109.45,175.76
MOLH1,Ointment,China,2017,51.32,153.55
MOLIBD2,API,US,2024,196.44,115.87
MOLR1,Suspension,Japan,2023,33.95,159.55
MOLD3,Capsule,Canada,2021,186.28,160.91
MOLDEP3,Ointment,EU,2017,128.2,87.5
MOLDEP2,Injection,EU,2024,164.28,66.81
MOLDEP1,Patch,Canada,2024,105.7,0.25
MOLIBD1,Ointment,US,2020,160.2,16.46
MOLRA2,Ointment,EU,2020,7.77,153.88
MOLP3,Injection,Australia,2017,73.02,71.49
MOL1,Suspension,Australia,2022,163.07,188.72
MOL1,Syrup,Australia,2024,15.99,160.49
MOLO2,Syrup,Global,2022,198.51,199.54
MOLDEP3,Ointment,China,2015,81.81,159.81
MOLIBD1,Suspension,Brazil,2019,101.21,139.91
MOLP3,Suspension,US,2020,69.33,81.65
MOLC,Injection,Global,2020,56.9,59.36
MOLM2,Syrup,Australia,2017,119.71,197.42
MOLO1,Injection,Brazil,2020,38.38,62.4
MOLBC2,Suspension,Australia,2017,154.38,169.83
MOLD3,Ointment,Australia,2021,113.51,96.55
MOLBC1,Injection,Australia,2023,33.78,130.91
MOLH3,Suspension,Japan,2015,173.59,101.33
MOLLC1,API,EU,2016,116.93,114.22
MOLCKD1,Ointment,EU,2021,87.72,154.52
MOLO1,Syrup,India,2021,111.65,120.97
MOLDEP3,Patch,Canada,2022,42.59,66.6
MOLIBD2,Suspension,Japan,2021,30.92,189.32
MOLO2,Suspension,Australia,2023,148.29,70.31
MOL1,Patch,China,2015,21.44,93.41
MOLM2,Ointment,Australia,2018,72.73,50.52
MOLIBD2,Inhaler,Brazil,2018,10.11,172.01
MOL1,Capsule,Brazil,2021,67.37,67.51
MOLX,API,Australia,2022,44.2,15.52
MOLD1,Tablet,Australia,2020,55.81,185.66
MOLHF1,Syrup,Brazil,2021,41.39,161.27
MOLM1,Suspension,Australia,2022,122.42,150.22
MOLR2,Capsule,EU,2023,26.87,37.23
MOLH1,Capsule,Canada,2016,184.32,82.83
MOL1,Tablet,Global,2023,33.57,175.21
MOLO2,API,India,2019,106.57,143.66
MOLCKD3,Patch,Canada,2019,81.07,68.27
MOLP2,Patch,Canada,2015,6.65,145.02
MOLH1,API,Australia,2022,90.77,10.08
MOL1,Tablet,US,2022,76.04,36.37
MOLDEP3,Inhaler,Brazil,2019,7.67,144.33
MOLA,Suspension,Global,2022,73.72,129.93
MOLCKD1,Inhaler,US,2020,176.38,78.31
MOLRA1,Suspension,China,2020,66.13,142.04
MOLRA2,Ointment,Global,2017,121.12,133.32
MOL1,API,Brazil,2016,169.66,199.44
MOLRA3,Injection,Japan,2020,137.41,44.02
MOLDEP1,Suspension,Japan,2022,110.16,139.72
MOLCKD1,Ointment,Global,2019,159.64,179.62
MOLHF1,Inhaler,Global,2024,122.89,5.38
MOLLC1,Injection,Japan,2015,157.77,179.18
MOLCKD3,Syrup,EU,2020,107.52,96.89
MOLO3,Inhaler,Canada,2020,110.17,49.08
MOLD2,Syrup,Japan,2020,64.3,76.45
MOLM2,Inhaler,US,2018,136.81,194.11
MOLCKD1,Suspension,Brazil,2018,45.99,176.8
MOLX,Ointment,Global,2022,133.77,0.24
MOLD1,Suspension,China,2019,153.4,97.9
MOLH1,Syrup,US,2021,39.4,148.6
MOLIBD3,Suspension,India,2024,147.18,105.54
MOLLC2,API,Global,2017,32.79,176.58
MOLRA3,Capsule,EU,2016,101.21,54.91
MOLD2,Capsule,Canada,2016,149.47,60.69
MOLH3,Patch,Japan,2022,152.42,176.72
MOLLC2,Syrup,Japan,2022,33.5,168.1
MOLR1,Capsule,EU,2024,69.01,144.21
MOLO1,Capsule,Japan,2020,11.71,95.72
MOLX,Suspension,US,2021,129.5,157.17
MOLLC3,Syrup,US,2022,111.81,85.72
MOLIBD1,Inhaler,Australia,2024,115.5,66.12
MOLM2,API,Canada,2018,41.02,71.96
MOL1,API,Canada,2019,94.98,137.49
MOLX,Tablet,US,2022,79.42,141.26
MOLHF2,Ointment,Canada,2016,61.24,156.73
MOLRA1,API,India,2020,191.92,43.08
MOLBC1,Inhaler,Australia,2018,17.39,98.44
MOLM1,Patch,Australia,2017,97.35,119.39
MOLO1,Syrup,Brazil,2024,154.09,181.11
MOLBC2,Suspension,Global,2021,13.19,120.75
MOLRA2,Syrup,EU,2017,196.46,58.58
MOLCKD2,Injection,Global,2017,152.8,11.73
MOLY,Tablet,Brazil,2016,195.81,181.59
MOLBC1,Tablet,Brazil,2015,20.72,120.26
MOLO3,Tablet,Brazil,2016,105.81,155.07
MOLP1,Patch,Brazil,2021,150.21,111.37
MOLBC1,Ointment,Japan,2022,91.94,197.51
MOLD3,Suspension,India,2022,54.91,13.79
MOLCKD2,Patch,Australia,2017,17.48,4.29
MOL2,Capsule,Brazil,2021,152.61,47.82
MOLX,Capsule,China,2020,75.15,40.81
MOLM1,Capsule,Global,2017,184.33,189.15
MOLP3,Syrup,China,2024,120.27,7.1
MOLM2,Suspension,Global,2019,134.42,169.26
MOLCKD3,Suspension,EU,2015,191.34,49.08
MOLIBD3,Ointment,China,2021,146.5,41.33
MOL2,Syrup,China,2020,113.06,66.83
MOLH2,Patch,Global,2016,87.37,96.17
MOLD3,Inhaler,China,2017,35.05,192.53
MOLO3,Suspension,EU,2023,161.38,114.7
MOL1,Syrup,Japan,2015,195.72,9.58
MOLX,Inhaler,Japan,2019,89.96,141.21
MOLCKD2,Capsule,EU,2023,132.8,145.21
MOLH2,Inhaler,Australia,2018,1.22,158.0
MOLA,Inhaler,Brazil,2019,116.3,178.26
MOLO1,API,China,2016,136.09,64.26
MOLLC3,Ointment,India,2019,168.32,99.95
MOLM1,API,Japan,2020,190.89,133.48
MOLH3,API,India,2016,103.98,152.82
MOLH1,Suspension,Global,2017,182.57,30.71
MOLRA2,Inhaler,China,2024,69.84,128.37
MOLM3,Ointment,Canada,2015,69.04,6.99
MOLBC3,Capsule,Global,2022,145.34,137.82
MOLLC1,Capsule,EU,2016,197.88,36.81
MOLHF3,Ointment,EU,2018,175.32,114.4
MOLCKD3,Suspension,EU,2021,163.42,99.98
MOLO1,Tablet,EU,2015,79.63,43.39
MOLO3,Tablet,China,2019,68.79,178.16
MOLP3,Patch,Japan,2018,108.11,58.36
MOLH1,Capsule,Japan,2023,132.21,102.88
MOLDEP1,Tablet,US,2019,155.66,18.61
MOLC,API,Brazil,2019,172.99,56.03
MOLH1,Ointment,Global,2024,128.36,198.04
MOLH2,Tablet,EU,2022,184.63,160.79
MOLCKD2,Suspension,Australia,2022,155.63,187.71
MOLM1,Inhaler,Australia,2020,27.27,197.74
MOL2,API,EU,2024,105.23,144.48
MOL2,Capsule,India,2015,134.73,104.66
MOLIBD1,API,China,2017,19.02,3.15
MOLHF3,Inhaler,Japan,2023,120.06,96.05
MOLC,API,India,2022,193.35,164.57
MOLBC2,Ointment,Japan,2021,91.27,167.82
MOLD1,Suspension,Japan,2015,155.81,155.11
MOLH1,Inhaler,EU,2024,74.44,54.23
MOLBC3,Ointment,Global,2020,12.31,129.37
MOLRA3,Injection,Brazil,2016,182.93,11.45
MOLO2,Inhaler,EU,2021,134.85,119.63
MOLDEP1,Syrup,Japan,2021,57.73,20.21
MOLY,Inhaler,Canada,2015,48.06,174.77
MOLCKD2,API,US,2015,137.68,171.47
MOLO1,API,Brazil,2015,156.59,139.9
MOLDEP1,Tablet,India,2023,112.19,121.17
MOLC,Suspension,India,2017,136.48,161.26
MOLIBD1,Tablet,Canada,2015,85.0,66.16
MOL2,Patch,Japan,2024,182.94,5.66
MOLD2,Inhaler,US,2020,119.68,121.03
MOLIBD1,Inhaler,China,2017,172.54,129.97
MOLIBD1,Patch,India,2024,1.18,4.16
MOLIBD1,Tablet,Australia,2016,169.68,66.36
MOLM1,API,China,2024,150.58,3.91
MOLRA1,Capsule,EU,2024,125.05,35.08
MOLRA1,API,Japan,2019,124.96,1.14
MOLLC3,Suspension,Brazil,2023,90.94,190.03
MOLDEP1,Tablet,India,2018,60.62,113.71
MOLP1,API,India,2023,81.83,52.8
MOLRA2,Ointment,Australia,2016,149.71,166.39
MOLHF1,Inhaler,Australia,2015,172.16,55.71
MOLCKD1,Suspension,Global,2023,159.89,183.97
MOLBC2,Suspension,Australia,2023,61.65,116.5
MOLLC3,Injection,Global,2021,14.12,36.96
MOLLC3,Ointment,Canada,2021,93.53,75.24
MOLLC1,Ointment,Canada,2019,95.72,81.95
MOLC,Syrup,India,2018,22.06,107.81
MOLD3,Ointment,Japan,2017,171.26,159.69
MOLP3,Capsule,US,2023,12.06,55.28
MOLA,Inhaler,Global,2015,101.83,168.03
MOLDEP1,Tablet,US,2024,83.25,17.84
MOLY,API,China,2024,172.52,196.3
MOLRA3,Patch,Global,2015,192.8,131.13
MOLR1,Suspension,EU,2021,68.43,170.04
MOLM2,Injection,US,2018,15.71,90.45
MOLHF3,Patch,China,2020,151.1,123.06
MOLDEP3,Ointment,US,2016,105.06,43.5
MOLO2,Syrup,EU,2022,145.47,170.58
MOLIBD3,Suspension,US,2023,148.04,157.94
MOLH3,API,Australia,2022,179.41,27.51
MOLO2,Inhaler,Global,2020,127.52,18.39
MOLRA2,Ointment,Brazil,2019,149.29,124.64
